"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Подача заявки на Дубликат аккредитации ФЛ","tests","Mon Oct 13 17:22:28 UTC 2025","skipped","Mon Oct 13 17:22:28 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"Тест проверяет, что если нет почты в базе, она предложит пройти регистрацию","30002","Проверка авторизации с несуществующей почтой","tests","Mon Oct 13 17:19:44 UTC 2025","broken","Mon Oct 13 17:20:14 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
"Тест проверяет, что пользователь может зарегестрироваться с правильными учетными данными.","132972","Проверка регистрации с валидными данными","tests","Mon Oct 13 17:20:15 UTC 2025","broken","Mon Oct 13 17:22:28 UTC 2025","TestRegistration","Astanahub - Регистрация","",""
"","0","Подача заявки на Регистрацию участника (БП)","tests","Mon Oct 13 17:22:28 UTC 2025","skipped","Mon Oct 13 17:22:28 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"Проверяем дает ли система авторизоваться с помощью ЭЦП","0","Авторизация с помощью ЭЦП","tests","Mon Oct 13 17:20:14 UTC 2025","skipped","Mon Oct 13 17:20:14 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
"Тест проверяет, что пользователь может войти с правильными учетными данными.","30004","Проверка авторизации с валидными данными","tests","Mon Oct 13 17:18:43 UTC 2025","broken","Mon Oct 13 17:19:13 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
"","0","Подача заявки на Переоформление аккредитации ФЛ","tests","Mon Oct 13 17:22:28 UTC 2025","skipped","Mon Oct 13 17:22:28 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"","0","Позитивный сценарий аккредитации","tests","Mon Oct 13 17:18:42 UTC 2025","skipped","Mon Oct 13 17:18:42 UTC 2025","TestArm","ARM","",""
"","0","Подача заявки на Переоформление аккредитации ЮЛ","tests","Mon Oct 13 17:22:28 UTC 2025","skipped","Mon Oct 13 17:22:28 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"","0","Привязка ИИН","tests","Mon Oct 13 17:18:42 UTC 2025","skipped","Mon Oct 13 17:18:42 UTC 2025","TestAccount","Account","",""
"Тест проверяет, что если нет почты в базе, она предложит пройти регистрацию","30003","Проверка авторизации с несуществующей почтой","tests","Mon Oct 13 17:19:14 UTC 2025","broken","Mon Oct 13 17:19:44 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
