"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет, что если нет почты в базе, она предложит пройти регистрацию","30002","Проверка авторизации с несуществующей почтой","tests","Mon Oct 13 18:55:19 UTC 2025","failed","Mon Oct 13 18:55:49 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
"Проверяем дает ли система авторизоваться с помощью ЭЦП","0","Авторизация с помощью ЭЦП","tests","Mon Oct 13 18:56:20 UTC 2025","skipped","Mon Oct 13 18:56:20 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
"","0","Подача заявки на Переоформление аккредитации ФЛ","tests","Mon Oct 13 18:58:36 UTC 2025","skipped","Mon Oct 13 18:58:36 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"","0","Позитивный сценарий аккредитации","tests","Mon Oct 13 18:54:48 UTC 2025","skipped","Mon Oct 13 18:54:48 UTC 2025","TestArm","ARM","",""
"","0","Подача заявки на Переоформление аккредитации ЮЛ","tests","Mon Oct 13 18:58:36 UTC 2025","skipped","Mon Oct 13 18:58:36 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"","0","Подача заявки на Дубликат аккредитации ФЛ","tests","Mon Oct 13 18:58:36 UTC 2025","skipped","Mon Oct 13 18:58:36 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"Тест проверяет, что пользователь может зарегестрироваться с правильными учетными данными.","135869","Проверка регистрации с валидными данными","tests","Mon Oct 13 18:56:20 UTC 2025","broken","Mon Oct 13 18:58:36 UTC 2025","TestRegistration","Astanahub - Регистрация","",""
"","0","Привязка ИИН","tests","Mon Oct 13 18:54:48 UTC 2025","skipped","Mon Oct 13 18:54:48 UTC 2025","TestAccount","Account","",""
"Тест проверяет, что пользователь может войти с правильными учетными данными.","30004","Проверка авторизации с валидными данными","tests","Mon Oct 13 18:54:49 UTC 2025","failed","Mon Oct 13 18:55:19 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
"","0","Подача заявки на Регистрацию участника (БП)","tests","Mon Oct 13 18:58:36 UTC 2025","skipped","Mon Oct 13 18:58:36 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"Тест проверяет, что если нет почты в базе, она предложит пройти регистрацию","30004","Проверка авторизации с несуществующей почтой","tests","Mon Oct 13 18:55:50 UTC 2025","failed","Mon Oct 13 18:56:20 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
