"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет, что пользователь может зарегестрироваться с правильными учетными данными.","133345","Проверка регистрации с валидными данными","tests","Mon Oct 13 16:00:10 UTC 2025","broken","Mon Oct 13 16:02:23 UTC 2025","TestRegistration","Astanahub - Регистрация","",""
"Тест проверяет, что если нет почты в базе, она предложит пройти регистрацию","30002","Проверка авторизации с несуществующей почтой","tests","Mon Oct 13 15:59:39 UTC 2025","broken","Mon Oct 13 16:00:09 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
"","0","Позитивный сценарий аккредитации","tests","Mon Oct 13 15:58:37 UTC 2025","skipped","Mon Oct 13 15:58:37 UTC 2025","TestArm","ARM","",""
"","0","Подача заявки на Переоформление аккредитации ЮЛ","tests","Mon Oct 13 16:02:23 UTC 2025","skipped","Mon Oct 13 16:02:23 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"","0","Подача заявки на Переоформление аккредитации ФЛ","tests","Mon Oct 13 16:02:23 UTC 2025","skipped","Mon Oct 13 16:02:23 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"Тест проверяет, что если нет почты в базе, она предложит пройти регистрацию","30003","Проверка авторизации с несуществующей почтой","tests","Mon Oct 13 15:59:09 UTC 2025","broken","Mon Oct 13 15:59:39 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
"","0","Подача заявки на Дубликат аккредитации ФЛ","tests","Mon Oct 13 16:02:23 UTC 2025","skipped","Mon Oct 13 16:02:23 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"Тест проверяет, что пользователь может войти с правильными учетными данными.","30004","Проверка авторизации с валидными данными","tests","Mon Oct 13 15:58:38 UTC 2025","broken","Mon Oct 13 15:59:08 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
"","0","Подача заявки на Регистрацию участника (БП)","tests","Mon Oct 13 16:02:23 UTC 2025","skipped","Mon Oct 13 16:02:23 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"Проверяем дает ли система авторизоваться с помощью ЭЦП","0","Авторизация с помощью ЭЦП","tests","Mon Oct 13 16:00:09 UTC 2025","skipped","Mon Oct 13 16:00:09 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
"","0","Привязка ИИН","tests","Mon Oct 13 15:58:37 UTC 2025","skipped","Mon Oct 13 15:58:37 UTC 2025","TestAccount","Account","",""
