"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Подача заявки на Регистрацию участника (БП)","tests","Fri Oct 17 10:02:26 UTC 2025","skipped","Fri Oct 17 10:02:26 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"Проверяем дает ли система авторизоваться с помощью ЭЦП","0","Авторизация с помощью ЭЦП","tests","Fri Oct 17 10:00:10 UTC 2025","skipped","Fri Oct 17 10:00:10 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
"","0","Позитивный сценарий аккредитации","tests","Fri Oct 17 09:57:07 UTC 2025","skipped","Fri Oct 17 09:57:07 UTC 2025","TestArm","ARM","",""
"Тест проверяет, что если нет почты в базе, она предложит пройти регистрацию","30005","Проверка авторизации с несуществующей почтой","tests","Fri Oct 17 09:58:09 UTC 2025","failed","Fri Oct 17 09:58:39 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
"","0","Подача заявки на Дубликат аккредитации ФЛ","tests","Fri Oct 17 10:02:26 UTC 2025","skipped","Fri Oct 17 10:02:26 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"Тест проверяет, что пользователь может зарегестрироваться с правильными учетными данными.","135771","Проверка регистрации с валидными данными","tests","Fri Oct 17 10:00:10 UTC 2025","broken","Fri Oct 17 10:02:26 UTC 2025","TestRegistration","Astanahub - Регистрация","",""
"","0","Привязка ИИН","tests","Fri Oct 17 09:57:07 UTC 2025","skipped","Fri Oct 17 09:57:07 UTC 2025","TestAccount","Account","",""
"Тест проверяет, что пользователь может войти с правильными учетными данными.","30008","Проверка авторизации с валидными данными","tests","Fri Oct 17 09:57:08 UTC 2025","failed","Fri Oct 17 09:57:38 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
"","0","Подача заявки на Переоформление аккредитации ФЛ","tests","Fri Oct 17 10:02:26 UTC 2025","skipped","Fri Oct 17 10:02:26 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"Тест проверяет, что если нет почты в базе, она предложит пройти регистрацию","30006","Проверка авторизации с несуществующей почтой","tests","Fri Oct 17 09:59:10 UTC 2025","failed","Fri Oct 17 09:59:40 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
"","0","Подача заявки на Переоформление аккредитации ЮЛ","tests","Fri Oct 17 10:02:26 UTC 2025","skipped","Fri Oct 17 10:02:26 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
